### Footprint positions - created on 2025-12-27T11:39:36-0800 ###
### Printed by KiCad version 9.0.6-9.0.6~ubuntu24.04.1
## Unit = inches, Angle = deg.
## Side : top
# Ref     Val                  Package                                                PosX       PosY       Rot  Side
A101      RaspberryPi_Pico2    RaspberryPi_Pico_Common_Unspecified                  8.0250    -3.7750    0.0000  top
R302      100k-1%-0805         R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          9.7633    -3.0030    0.0000  top
R303      100k-1%-0805         R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          9.7633    -3.1191    0.0000  top
R304      100k-1%-0805         R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          9.7633    -3.2352    0.0000  top
R305      49.9R-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          9.7633    -3.3514    0.0000  top
R306      49.9R-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          9.7633    -3.4675    0.0000  top
R307      49.9R-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          9.7633    -3.5837    0.0000  top
R308      49.9R-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          9.7633    -3.6998    0.0000  top
R309      10k-1%-0805          R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          9.7633    -3.8159    0.0000  top
R401      10k-1%-0805          R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          8.0463     2.7648    0.0000  top
R402      10k-1%-0805          R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          8.0463     2.6486    0.0000  top
R403      20k-1%-0805          R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          8.0463     2.5325    0.0000  top
R404      20k-1%-0805          R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          8.0463     2.4163    0.0000  top
R405      100k-1%-0805         R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          8.0463     2.3002    0.0000  top
R406      20k-1%-0805          R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          8.0463     2.1841    0.0000  top
R407      12.4k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          8.0463     2.0679    0.0000  top
R408      100k-1%-0805         R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          8.0463     1.9518    0.0000  top
R501      1.50k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          4.8960     2.3150    0.0000  top
R502      1.50k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          4.8960     2.1988    0.0000  top
R503      10k-1%-0805          R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          4.8960     2.0827    0.0000  top
R504      10k-1%-0805          R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          4.8960     1.9665    0.0000  top
R601      20k-1%-0805          R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          2.5454    -3.2210    0.0000  top
R602      49.9R-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          2.5454    -3.3372    0.0000  top
R603      20k-1%-0805          R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          2.5454    -3.4533    0.0000  top
R604      20k-1%-0805          R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          2.5454    -3.5694    0.0000  top
R605      49.9R-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          2.5454    -3.6856    0.0000  top
R606      49.9R-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          2.5454    -3.8017    0.0000  top
R607      20k-1%-0805          R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          2.5454    -3.9179    0.0000  top
R608      20k-1%-0805          R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          2.7324    -3.2210    0.0000  top
R609      20k-1%-0805          R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          2.7324    -3.3372    0.0000  top
R610      49.9R-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          2.7324    -3.4533    0.0000  top
R611      49.9R-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          2.7324    -3.5694    0.0000  top
R612      49.9R-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          2.7324    -3.6856    0.0000  top
R613      20k-1%-0805          R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          2.7324    -3.8017    0.0000  top
R614      20k-1%-0805          R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          2.7324    -3.9179    0.0000  top
R615      20k-1%-0805          R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          2.9194    -3.2210    0.0000  top
R616      49.9R-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          2.9194    -3.3372    0.0000  top
R617      49.9R-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          2.9194    -3.4533    0.0000  top
R618      49.9R-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          2.9194    -3.5694    0.0000  top
TP101     CAN_TX               TestPoint_Keystone_5000-5004_Miniature              11.9807    -4.8732    0.0000  top
TP102     CAN_RX               TestPoint_Keystone_5000-5004_Miniature              11.9807    -5.0445    0.0000  top
TP301     CAN_RX               TestPoint_Keystone_5000-5004_Miniature              10.3212    -3.3285    0.0000  top
TP302     CAN_RX               TestPoint_Keystone_5000-5004_Miniature              10.3212    -3.4998    0.0000  top
TP401     CAN_RX               TestPoint_Keystone_5000-5004_Miniature               8.7467     2.7372    0.0000  top
TP402     CAN_RX               TestPoint_Keystone_5000-5004_Miniature               8.7467     2.5659    0.0000  top
TP403     CAN_RX               TestPoint_Keystone_5000-5004_Miniature               8.7467     2.3947    0.0000  top
U101      4.0_MHz              Wurth-CFPS-73                                       11.8750    -4.6502    0.0000  top
U102      MCP2518FDT-H/SL      SO-14_3.9x8.65mm_P1.27mm                            11.8720    -4.3167    0.0000  top
U103      MCP2558FD            SO-8_3.9x4.9mm_P1.27mm                              11.8720    -3.9829    0.0000  top
U201      SN74HC165DR          SO-16_3.9x9.9mm_P1.27mm                              4.2634    -8.5933    0.0000  top
U202      SN74HC165DR          SO-16_3.9x9.9mm_P1.27mm                              4.5961    -8.5933    0.0000  top
U301      TLV77033DDC          SOT-23-5                                            10.5302    -3.6799    0.0000  top
U302      SN74LVC1G3157DBVR    SOT-23-6_Handsoldering                              10.5219    -3.3394    0.0000  top
U401      ITS41k0S-ME-N        SOT-223-3_TabPin2                                    8.6522     2.1319    0.0000  top
U402      TPS54202DDC          SOT-23-6                                             8.9474     1.9657    0.0000  top
## End
